Tester:     weka.experiment.PairedCorrectedTTester
Analysing:  Percent_correct
Datasets:   65
Resultsets: 25
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       11/23/14 2:26 AM


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],'',[19],'',[20],'',[21],'',[22],'',[23],'',[24],'',[25],''
5.1-type2-sibsp-deck,81.96,81.94,' ',78.79,*,80.45,' ',82.19,' ',82.19,' ',80.68,' ',81.21,' ',81.53,' ',81.34,' ',82.21,' ',78.44,*,78.59,*,78.51,*,80.84,' ',78.68,*,79.04,*,79.33,*,79.33,*,79.33,*,73.88,*,80.96,' ',80.96,' ',80.96,' ',81.64,' '
5.3-type2-sibsp-deck-noem,79.43,80.22,' ',78.79,' ',78.92,' ',80.02,' ',80.02,' ',79.83,' ',80.21,' ',80.25,' ',79.60,' ',79.96,' ',78.61,' ',78.44,' ',78.61,' ',78.69,' ',78.69,' ',79.91,' ',80.02,' ',80.02,' ',80.02,' ',73.36,' ',79.91,' ',79.91,' ',79.91,' ',80.31,' '
5.5-type2-sibsp-deck-nopa,81.54,81.96,' ',78.79,*,81.58,' ',82.00,' ',82.00,' ',80.80,' ',82.05,' ',81.93,' ',81.58,' ',81.90,' ',78.61,*,78.33,*,78.61,*,78.68,*,78.68,*,79.60,*,79.79,*,79.79,*,79.79,*,73.30,*,81.26,' ',81.26,' ',81.26,' ',81.80,' '
5.7-type2-sibsp-deck-noem,80.00,81.10,' ',78.79,' ',80.72,' ',81.08,' ',81.09,' ',79.66,' ',80.87,' ',80.93,' ',80.16,' ',81.40,' ',78.50,' ',78.43,*,78.53,' ',80.80,' ',78.69,' ',79.34,' ',79.21,' ',79.10,' ',79.21,' ',74.29,' ',80.40,' ',80.40,' ',80.40,' ',80.40,' '
1.binfbp,82.25,79.96,*,78.68,*,81.38,' ',82.00,' ',82.01,' ',81.11,' ',80.04,*,78.74,*,81.15,' ',81.16,' ',78.68,*,78.68,*,78.62,*,80.91,' ',78.79,*,76.40,*,77.60,*,76.93,*,77.60,*,74.57,*,76.29,*,76.29,*,76.29,*,81.25,' '
2.0-type-binfbp,82.66,81.85,' ',78.90,*,82.28,' ',82.55,' ',82.55,' ',82.55,' ',81.31,' ',80.52,*,82.37,' ',82.09,' ',82.09,' ',82.10,' ',82.04,' ',83.04,' ',81.62,' ',76.62,*,77.94,*,77.58,*,77.94,*,75.60,*,80.74,*,80.74,*,80.74,*,82.57,' '
2.1-type-binfbp-nosibsp-n,79.19,79.65,' ',78.90,' ',79.16,' ',78.86,' ',78.86,' ',79.02,' ',79.71,' ',79.73,' ',79.11,' ',79.02,' ',78.90,' ',78.90,' ',78.90,' ',78.89,' ',78.89,' ',76.16,*,76.20,*,76.20,*,76.20,*,73.98,' ',79.73,' ',79.73,' ',79.73,' ',80.11,' '
2.2-type-binfbp-noembarke,81.75,82.09,' ',78.90,*,82.89,' ',82.46,' ',82.46,' ',82.31,' ',80.65,' ',80.69,' ',81.70,' ',82.15,' ',81.90,' ',81.99,' ',81.97,' ',82.94,' ',81.02,' ',75.98,*,77.18,*,76.44,*,77.18,*,74.93,*,80.67,' ',80.67,' ',80.67,' ',80.16,' '
2.3-type-binfbp-nosibsp-n,82.30,82.29,' ',78.90,*,82.31,' ',82.09,' ',82.09,' ',81.84,' ',82.21,' ',82.08,' ',81.38,' ',82.09,' ',78.90,*,78.79,*,78.90,*,79.79,*,79.79,*,76.96,*,76.98,*,76.98,*,76.98,*,74.26,*,82.09,' ',82.09,' ',82.09,' ',82.29,' '
2.4-type-binfbp-noparch,82.86,82.09,' ',78.90,*,82.50,' ',82.64,' ',82.64,' ',82.59,' ',81.73,' ',81.48,' ',82.33,' ',82.48,' ',81.93,' ',82.13,' ',82.12,' ',82.46,' ',81.46,' ',76.96,*,77.52,*,77.50,*,77.52,*,75.70,*,81.57,' ',81.57,' ',81.57,' ',82.49,' '
